timestamp,rmssd,tp,lfn,hfn,r_hrv
1592161606,,,,,40.7
1592161786,,,,,48.8
1592161966,22.3,0.3,31.9,68.1,133.2
1592162146,17.3,0.6,47.5,52.5,197.2
1592162326,18.2,0.5,31.3,68.7,148.6
1592162486,,,,,294.3
1592162828,29,0.3,48.8,51.2,236.6
1592163008,27.1,0.6,36,64,598
1592163188,,,,,256.6
1592163368,,,,,162.3
1592163548,27.7,0.4,30.2,69.8,270
1592163728,31.5,0.5,26.7,73.3,164.4
1592163909,32.2,0.5,27.1,72.9,173
1592164089,29.7,0.6,22.3,77.7,559.1
1592164269,32.9,0.6,25.8,74.2,176.6
1592164449,33.9,0.6,44,56,409.9
1592164841,,,,,92.8
1592165021,20.7,0.5,48.3,51.7,137.9
1592165201,,,,,100.2
1592165381,39.6,0.5,47.4,52.6,533.6
1592165560,37.3,0.5,23.6,76.4,476.6
1592165740,,,,,173.4
1592165921,,,,,45.9
1592166101,,,,,122.3
1592166281,26.9,0.5,40.6,59.4,505.9
1592166461,143.7,0.4,25,75,489.2
1592166641,34.6,0.5,40.1,59.9,197.8
1592166821,41.3,0.5,33.7,66.3,739.9
1592166964,27.5,0.6,13.2,86.8,450.4
1592167302,,,,,300
1592167482,23.6,0.6,39.6,60.4,240.7
1592167662,28.7,0.6,20.4,79.6,173
1592167842,23,0.5,30,70,200
1592168022,28.7,0.5,29,71,347.4
1592168202,34,0.5,42,58,308.3
1592168383,30.7,0.5,37.8,62.2,206.2
1592168563,,,,,27.3
1592168743,26.1,0.5,47,53,209.7
1592168923,,,,,23.4
1592169103,26.6,0.5,44.4,55.6,201.7
1592169283,,,,,27.1
1592169463,28,0.5,26.9,73.1,239.5
1592169642,25,0.5,40.9,59.1,257.6
1592169822,41.8,0.5,34.7,65.3,544.1
1592170002,29.1,0.5,30.5,69.5,202
1592170182,28.5,0.5,21,79,200.3
1592170362,28.3,0.5,32,68,200.9
1592170542,33.5,0.5,27.9,72.1,200.2
1592170723,25,0.5,21.8,78.2,194.9
1592170903,30.5,0.5,19.7,80.3,858.5
1592171083,56.2,0.5,41.3,58.7,335.2
1592171263,39.2,0.5,31,69,74
1592171443,33.1,0.5,51.6,48.4,76.1
1592171623,33.8,0.5,48.4,51.6,76.6
1592171803,28.5,0.5,41.8,58.2,442.6
1592171982,33.8,0.5,45.8,54.2,392.3
1592172162,29.8,0.5,24,76,195.1
1592172342,32.5,0.5,29.6,70.4,191.6
1592172522,,,,,33.5
1592172702,31.2,0.5,35.3,64.7,198.9
1592172882,31.4,0.5,15.9,84.1,187
1592173063,31.7,0.5,18.5,81.5,189
1592173243,,,,,32.9
1592173423,29.1,0.5,15.1,84.9,181.7
1592173603,32.8,0.5,24.2,75.8,183.8
1592173783,,,,,35.3
1592173963,33.2,0.5,22.1,77.9,235.3
1592174143,54.2,0.5,31.3,68.7,576.7
1592174322,43.3,0.5,23.9,76.1,169.1
1592174502,45.1,0.5,40.6,59.4,167.3
1592174682,45,0.5,22.1,77.9,161.4
1592174862,49.9,0.5,29.8,70.2,300.2
1592175042,43.7,0.5,21.6,78.4,163.1
1592175222,47.7,0.4,27,73,999
1592175403,,,,,131.8
1592175534,,,,,405.1
1592175831,43.4,0.4,19.8,80.2,98.3
1592176011,,,,,163.6
1592176191,,,,,183.3
1592176371,,,,,201.9
1592176551,31.4,0.5,79.6,20.4,169.7
1592176731,57.1,0.5,39.5,60.5,544.5
1592176912,29.5,0.5,53,47,259.3
1592177092,34.5,0.6,55.5,44.5,544.4
1592177272,,,,,235.2
1592177452,,,,,34.4
1592177632,,,,,212.6
1592177812,,,,,214.8
1592177992,45.8,0.5,48,52,55.9
1592178171,47,0.5,30.3,69.7,311
1592178351,59.3,0.5,51.4,48.6,409.8
1592178531,48,0.4,23.3,76.7,57.9
1592178711,45,0.4,13.4,86.6,57.4
1592178891,39,0.4,30.7,69.3,57.6
1592179071,49.6,0.5,32.1,67.9,419.2
1592179252,41.6,0.5,42.3,57.7,170.9
1592179432,40.7,0.4,27.2,72.8,31.4
1592179612,31.9,0.5,46.1,53.9,222.6
1592179792,,,,,48.5
1592179972,39.9,0.5,46.3,53.7,354.5
1592180152,,,,,53.8
1592180332,44.4,0.3,31.5,68.5,31.6
1592180511,38.6,0.4,17.2,82.8,207.7
1592180691,36,0.5,27.2,72.8,253.6
1592180871,47.7,0.5,61.8,38.2,427.2
1592181051,33.4,0.4,28.7,71.3,166
1592181231,35.5,0.5,22.9,77.1,156.5
1592181411,40.9,0.5,34.1,65.9,220.6
1592181592,28.9,0.4,24.5,75.5,53.2
1592181772,37.3,0.5,17.3,82.7,487.1
1592181952,58.1,0.5,40.2,59.8,512.5
1592182132,70,0.4,32.5,67.5,90.4
1592182312,49.3,0.4,40.7,59.3,92.7
1592182492,49.9,0.5,21.6,78.4,87.4
1592182672,48.3,0.5,41,59,86.4
1592182851,41,0.4,43.4,56.6,85.7
1592183031,42.3,0.5,56,44,83.2
1592183211,39.4,0.5,48.6,51.4,86.2
1592183391,22.5,0.5,59.1,40.9,112.1
1592183571,125.7,0.4,70.7,29.3,410.3
1592183751,44.6,0.5,30.3,69.7,618.3
1592183932,27.3,0.5,47,53,183.3
1592184112,22,0.5,63,37,250.1
1592184292,19.6,0.6,70,30,335.3
1592184472,25.9,0.5,61.9,38.1,192.8
1592184652,21.7,0.5,59.8,40.2,217.2
1592184832,19.1,0.6,67.2,32.8,234.4
1592185012,10.3,0.6,77.4,22.6,210.4
1592185191,20.2,0.6,69.3,30.7,392.9
1592185371,55,0.4,32.6,67.4,561.5
1592185551,37.5,0.5,51.2,48.8,63.7
1592185731,47.5,0.5,26.1,73.9,353.7
1592185911,54.3,0.5,33.3,66.7,136.4
1592186091,53.2,0.5,31.8,68.2,286.4
1592186272,52.4,0.5,34.5,65.5,142.5
1592186452,53.3,0.4,28.3,71.7,159.6
1592186632,45.2,0.5,42.6,57.4,144.1
1592186812,37.6,0.5,41.6,58.4,152.2
1592186992,37.8,0.5,49.1,50.9,148.1
1592187172,38.6,0.4,31.1,68.9,147.3
1592187352,39.1,0.4,22,78,152.3
1592187531,34.6,0.4,48.7,51.3,151.3
1592187711,31,0.5,26.1,73.9,155
1592187891,34.9,0.5,49.3,50.7,487.4
1592188071,52.5,0.4,12.3,87.7,540.3
1592188251,48.1,0.5,20.6,79.4,477.6
1592188431,36.6,0.5,45.1,54.9,421.3
1592188612,31.9,0.5,37.8,62.2,142.1
1592188792,28.3,0.5,21,79,266.5
1592188972,28.9,0.5,34.2,65.8,146.9
1592189152,26.2,0.5,53.9,46.1,147.3
1592189332,28.9,0.5,25.2,74.8,144.6
1592189512,40,0.5,40,60,488.9
1592189692,,,,,261.6
1592189871,41.4,0.5,33.5,66.5,88.2
1592190051,49.6,0.5,24.8,75.2,89.6
1592190231,33.9,0.5,22.6,77.4,97.7
1592190411,30.4,0.5,44,56,107
1592190591,36.1,0.5,24.3,75.7,506.4
1592190771,29.9,0.5,49.1,50.9,321.5
1592190952,24.6,0.5,24.1,75.9,265.1
1592191132,32,0.6,51.7,48.3,168.6
1592191312,24.5,0.5,50.4,49.6,148.4
1592191492,36.4,0.5,61.1,38.9,523
1592191672,35.6,0.4,37.3,62.7,277.1
1592191852,33.5,0.5,35,65,169.2
1592192032,41.7,0.5,25.7,74.3,200.1
1592192211,,,,,315.3
1592192391,32.8,0.6,45.5,54.5,193.9
1592192571,,,,,313.4
