timestamp,rmssd,tp,lfn,hfn,r_hrv
1593031977,,,,,60.9
1593032156,27.2,0.6,66.6,33.4,248.2
1593032336,18.9,0.5,27.9,72.1,121.3
1593032516,20,0.5,48.7,51.3,117.5
1593032696,,,,,124.8
1593032876,,,,,163.5
1593033057,32,0.5,32.5,67.5,412.9
1593033237,26.6,0.5,26.8,73.2,339
1593033417,,,,,159.5
1593033597,30,0.6,42.6,57.4,577.2
1593033729,,,,,342.6
1593033962,,,,,315.1
1593034142,,,,,205.8
1593034322,34.3,0.5,39.4,60.6,229.2
1593034502,35.1,0.5,33.2,66.8,157.2
1593034682,,,,,254.1
1593035034,32.4,0.5,23.7,76.3,367.1
1593035214,44.6,0.5,12.3,87.7,570.1
1593035394,37.5,0.5,22.6,77.4,171.1
1593035574,44.5,0.5,16,84,703.5
1593035754,34.7,0.5,24,76,610.1
1593035934,31.8,0.5,14.5,85.5,165.3
1593036115,38,0.5,25,75,534.2
1593036295,41.5,0.5,33.5,66.5,293.9
1593036475,40.8,0.5,36.2,63.8,202.1
1593036654,39.4,0.5,36.3,63.7,203.6
1593036834,36.8,0.5,17,83,209.2
1593037014,33.4,0.5,24.4,75.6,203.3
1593037194,32,0.5,23.6,76.4,452
1593037374,50.8,0.5,25.4,74.6,417.3
1593037554,45.2,0.5,30.6,69.4,367
1593037734,37.6,0.5,24.6,75.4,162.3
1593037914,39.6,0.5,27.3,72.7,856
1593038094,40.9,0.4,37.1,62.9,388.6
1593038274,,,,,84.1
1593038455,,,,,88.6
1593038635,,,,,77
1593038815,,,,,62.9
1593038994,,,,,240.3
1593039174,53.4,0.5,44.1,55.9,521.6
1593039354,52.2,0.5,19.7,80.3,167.8
1593039534,51.3,0.5,19.8,80.2,258.2
1593039714,54,0.5,29.6,70.4,925.4
1593039817,,,,,592.4
1593040066,45.7,0.5,35.9,64.1,248.4
1593040246,54.8,0.4,21.2,78.8,119.2
1593040425,55.9,0.4,33.3,66.7,120.2
1593040605,47.1,0.5,33.1,66.9,130
1593040785,37.1,0.5,29.3,70.7,128.2
1593040965,44.3,0.5,37.8,62.2,137.5
1593041146,52.2,0.5,39.9,60.1,127
