at,timestamp,hr,rr,act
2020-06-25 22:35,1593117344,79,23.4,133
2020-06-25 22:35,1593117348,79,23.4,179
2020-06-25 22:35,1593117352,79,23.4,194
2020-06-25 22:35,1593117356,79,23.2,169
2020-06-25 22:36,1593117360,77,22.7,185
2020-06-25 22:36,1593117364,77,22.1,164
2020-06-25 22:36,1593117368,77,21.9,142
2020-06-25 22:36,1593117372,76,22,179
2020-06-25 22:36,1593117376,75,22,148
2020-06-25 22:36,1593117380,77,22.1,135
2020-06-25 22:36,1593117384,80,21.9,169
2020-06-25 22:36,1593117388,81,21.5,175
2020-06-25 22:36,1593117392,81,21.3,181
2020-06-25 22:36,1593117396,81,21.3,195
2020-06-25 22:36,1593117400,81,21.3,1136
2020-06-25 22:36,1593117404,81,21.4,178
2020-06-25 22:36,1593117408,81,21.4,168
2020-06-25 22:36,1593117412,81,21.4,157
2020-06-25 22:36,1593117416,82,21.4,154
2020-06-25 22:37,1593117420,83,21.4,188
2020-06-25 22:37,1593117424,84,21.1,123
2020-06-25 22:37,1593117428,85,20.9,478
2020-06-25 22:37,1593117432,86,20.8,171
2020-06-25 22:37,1593117436,86,20.8,174
2020-06-25 22:37,1593117440,85,20.8,208
2020-06-25 22:37,1593117444,83,20.8,160
2020-06-25 22:37,1593117448,80,20.9,145
2020-06-25 22:37,1593117452,80,21,123
2020-06-25 22:37,1593117456,79,21.1,156
2020-06-25 22:37,1593117460,76,21.1,202
2020-06-25 22:37,1593117464,76,21.1,188
2020-06-25 22:37,1593117468,76,21.1,175
2020-06-25 22:37,1593117472,77,21,123
2020-06-25 22:37,1593117476,78,21,158
2020-06-25 22:38,1593117480,78,20.9,194
2020-06-25 22:38,1593117484,78,21,145
2020-06-25 22:38,1593117488,78,20.9,164
2020-06-25 22:38,1593117492,78,20.9,185
2020-06-25 22:38,1593117496,78,20.8,168
2020-06-25 22:38,1593117500,78,20.7,205
2020-06-25 22:38,1593117504,79,20.8,185
2020-06-25 22:38,1593117508,79,20.9,191
2020-06-25 22:38,1593117512,80,21.1,162
2020-06-25 22:38,1593117516,82,21.3,151
2020-06-25 22:38,1593117520,82,21.4,153
2020-06-25 22:38,1593117524,81,21.6,157
2020-06-25 22:38,1593117528,81,21.6,196
2020-06-25 22:38,1593117532,81,21.7,218
2020-06-25 22:38,1593117536,81,21.7,234
2020-06-25 22:39,1593117540,82,21.5,224
2020-06-25 22:39,1593117544,82,21.4,203
2020-06-25 22:39,1593117548,82,21.4,219
2020-06-25 22:39,1593117552,83,21.6,203
2020-06-25 22:39,1593117556,84,21.8,156
2020-06-25 22:39,1593117560,85,22,159
2020-06-25 22:39,1593117564,85,22,154
2020-06-25 22:39,1593117568,85,22,118
2020-06-25 22:39,1593117572,85,22,175
2020-06-25 22:39,1593117576,85,22.1,153
2020-06-25 22:39,1593117580,84,22.1,174
2020-06-25 22:39,1593117584,84,22,129
2020-06-25 22:39,1593117588,83,21.6,136
2020-06-25 22:39,1593117592,82,21.4,143
2020-06-25 22:39,1593117596,81,21.4,175
2020-06-25 22:40,1593117600,80,21.2,204
2020-06-25 22:40,1593117604,80,20.9,209
2020-06-25 22:40,1593117608,80,20.6,213
2020-06-25 22:40,1593117612,80,20.6,239
2020-06-25 22:40,1593117616,79,20.9,205
2020-06-25 22:40,1593117620,79,21.1,220
2020-06-25 22:40,1593117624,79,21,169
2020-06-25 22:40,1593117628,80,21.4,188
2020-06-25 22:40,1593117632,80,21.8,150
2020-06-25 22:40,1593117636,81,22,173
2020-06-25 22:40,1593117640,81,22,155
2020-06-25 22:40,1593117644,82,22,185
2020-06-25 22:40,1593117648,82,22,182
2020-06-25 22:40,1593117652,82,22,189
2020-06-25 22:40,1593117656,81,22.1,102
2020-06-25 22:41,1593117660,81,22.1,179
2020-06-25 22:41,1593117664,81,22,183
2020-06-25 22:41,1593117668,82,21.7,181
2020-06-25 22:41,1593117672,81,21.3,195
2020-06-25 22:41,1593117676,80,21,118
2020-06-25 22:41,1593117680,79,20.9,125
2020-06-25 22:41,1593117684,78,20.8,168
2020-06-25 22:41,1593117688,77,20.8,158
2020-06-25 22:41,1593117692,76,20.8,177
2020-06-25 22:41,1593117696,75,20.8,124
2020-06-25 22:41,1593117700,75,20.8,160
2020-06-25 22:41,1593117704,75,20.8,142
2020-06-25 22:41,1593117708,75,20.8,107
2020-06-25 22:41,1593117712,75,20.8,131
2020-06-25 22:41,1593117716,75,20.8,156
2020-06-25 22:42,1593117720,76,20.7,128
2020-06-25 22:42,1593117724,76,20.6,155
2020-06-25 22:42,1593117728,76,20.4,165
2020-06-25 22:42,1593117732,76,20.3,167
2020-06-25 22:42,1593117736,77,20.3,146
2020-06-25 22:42,1593117740,77,20.3,124
2020-06-25 22:42,1593117744,77,20.2,161
2020-06-25 22:42,1593117748,78,20.4,136
2020-06-25 22:42,1593117752,79,20.8,121
2020-06-25 22:42,1593117756,80,20.8,163
2020-06-25 22:42,1593117760,81,20.9,416
2020-06-25 22:42,1593117764,81,20.8,225
2020-06-25 22:42,1593117768,81,20.7,154
2020-06-25 22:42,1593117772,81,20.6,170
2020-06-25 22:42,1593117776,81,20.8,159
2020-06-25 22:43,1593117780,80,20.8,140
2020-06-25 22:43,1593117784,80,20.6,137
2020-06-25 22:43,1593117788,80,20.1,173
2020-06-25 22:43,1593117792,80,19.5,138
2020-06-25 22:43,1593117796,80,19.3,163
2020-06-25 22:43,1593117800,79,19.3,174
2020-06-25 22:43,1593117804,79,19.3,135
2020-06-25 22:43,1593117808,79,19.4,157
2020-06-25 22:43,1593117812,78,19.6,185
2020-06-25 22:43,1593117816,78,19.8,247
2020-06-25 22:43,1593117820,78,20,174
2020-06-25 22:43,1593117824,78,20,139
2020-06-25 22:43,1593117828,77,20,169
2020-06-25 22:43,1593117832,77,20.1,172
2020-06-25 22:43,1593117836,77,20.3,125
2020-06-25 22:44,1593117840,78,20.5,146
2020-06-25 22:44,1593117844,78,20.6,177
2020-06-25 22:44,1593117848,79,20.7,175
2020-06-25 22:44,1593117852,79,20.7,163
2020-06-25 22:44,1593117856,79,20.6,174
2020-06-25 22:44,1593117860,79,20.5,168
2020-06-25 22:44,1593117864,79,20.5,228
2020-06-25 22:44,1593117868,79,20.6,176
2020-06-25 22:44,1593117872,79,20.6,116
2020-06-25 22:44,1593117876,79,20.5,89
2020-06-25 22:44,1593117880,78,20.4,149
2020-06-25 22:44,1593117884,77,20.2,164
2020-06-25 22:44,1593117888,76,19.8,156
2020-06-25 22:44,1593117892,76,19.4,154
2020-06-25 22:44,1593117896,76,19.1,162
2020-06-25 22:45,1593117900,76,19,157
2020-06-25 22:45,1593117904,76,19.1,140
2020-06-25 22:45,1593117908,76,19.2,107
2020-06-25 22:45,1593117912,76,19.2,151
2020-06-25 22:45,1593117916,75,19.2,130
2020-06-25 22:45,1593117920,75,19.2,157
2020-06-25 22:45,1593117924,75,19.1,169
2020-06-25 22:45,1593117928,75,19,125
2020-06-25 22:45,1593117932,76,18.9,110
2020-06-25 22:45,1593117936,76,19.3,148
2020-06-25 22:45,1593117940,77,19.7,192
2020-06-25 22:45,1593117944,76,19.7,90
2020-06-25 22:45,1593117948,77,19.6,173
2020-06-25 22:45,1593117952,78,19.7,214
2020-06-25 22:45,1593117956,78,20,107
2020-06-25 22:46,1593117960,80,20.1,157
2020-06-25 22:46,1593117964,80,20,165
2020-06-25 22:46,1593117968,79,20,153
2020-06-25 22:46,1593117972,78,19.8,155
2020-06-25 22:46,1593117976,78,19.6,152
2020-06-25 22:46,1593117980,78,19.3,114
2020-06-25 22:46,1593117984,78,19.3,150
2020-06-25 22:46,1593117988,77,19.5,147
2020-06-25 22:46,1593117992,77,19.6,151
2020-06-25 22:46,1593117996,77,19.7,165
2020-06-25 22:46,1593118000,78,19.7,160
2020-06-25 22:46,1593118004,78,19.8,162
2020-06-25 22:46,1593118008,79,20,126
2020-06-25 22:46,1593118012,79,20.2,145
2020-06-25 22:46,1593118016,80,20.1,138
2020-06-25 22:47,1593118020,79,20.1,170
2020-06-25 22:47,1593118024,79,20,147
2020-06-25 22:47,1593118028,79,20.1,122
2020-06-25 22:47,1593118032,79,20.4,170
2020-06-25 22:47,1593118036,79,20.8,165
2020-06-25 22:47,1593118040,79,20.9,168
2020-06-25 22:47,1593118044,80,20.7,146
2020-06-25 22:47,1593118048,80,20.6,140
2020-06-25 22:47,1593118052,81,20.6,121
2020-06-25 22:47,1593118056,81,20.6,152
2020-06-25 22:47,1593118060,81,20.6,151
2020-06-25 22:47,1593118064,80,20.5,139
2020-06-25 22:47,1593118068,80,20.5,143
2020-06-25 22:47,1593118072,80,20.2,151
2020-06-25 22:47,1593118076,80,20,138
2020-06-25 22:48,1593118080,81,20,196
