at,timestamp,hr,rr,act
2020-05-30 22:27,1590874060,,,86
2020-05-30 22:27,1590874064,,,507
2020-05-30 22:27,1590874068,,,353
2020-05-30 22:27,1590874072,,,228
2020-05-30 22:27,1590874076,,,129
2020-05-30 22:28,1590874080,,,107
2020-05-30 22:28,1590874084,,,3404
2020-05-30 22:28,1590874088,,,110
2020-05-30 22:28,1590874092,,,95
2020-05-30 22:28,1590874096,,,99
2020-05-30 22:28,1590874100,,,112
2020-05-30 22:28,1590874104,62,,111
2020-05-30 22:28,1590874108,61,,191
2020-05-30 22:28,1590874112,61,,124
2020-05-30 22:28,1590874116,61,,112
2020-05-30 22:28,1590874120,62,,124
2020-05-30 22:28,1590874124,62,,115
2020-05-30 22:28,1590874128,63,,136
2020-05-30 22:28,1590874132,64,,98
2020-05-30 22:28,1590874136,64,,115
2020-05-30 22:29,1590874140,64,,122
2020-05-30 22:29,1590874144,64,,111
2020-05-30 22:29,1590874148,65,,111
2020-05-30 22:29,1590874152,65,,106
2020-05-30 22:29,1590874156,65,,112
2020-05-30 22:29,1590874160,65,,104
2020-05-30 22:29,1590874164,65,,114
2020-05-30 22:29,1590874168,65,,114
2020-05-30 22:29,1590874172,64,11.2,112
2020-05-30 22:29,1590874176,64,10.1,198
2020-05-30 22:29,1590874180,65,9.6,165
2020-05-30 22:29,1590874184,65,9.3,105
2020-05-30 22:29,1590874188,65,9.3,116
2020-05-30 22:29,1590874192,65,,108
2020-05-30 22:29,1590874196,65,,95
2020-05-30 22:30,1590874200,65,,116
2020-05-30 22:30,1590874204,66,,99
2020-05-30 22:30,1590874208,66,16.8,116
2020-05-30 22:30,1590874212,66,16.6,92
2020-05-30 22:30,1590874216,66,17.6,120
2020-05-30 22:30,1590874220,66,18,100
2020-05-30 22:30,1590874224,65,19.3,112
2020-05-30 22:30,1590874228,65,18.9,123
2020-05-30 22:30,1590874232,65,18.6,121
2020-05-30 22:30,1590874236,65,18.2,124
2020-05-30 22:30,1590874240,66,18.6,101
2020-05-30 22:30,1590874244,66,18.8,148
2020-05-30 22:30,1590874248,66,18.3,112
2020-05-30 22:30,1590874252,66,17.6,91
2020-05-30 22:30,1590874256,67,17.6,120
2020-05-30 22:31,1590874260,66,17.8,102
2020-05-30 22:31,1590874264,66,17.8,97
2020-05-30 22:31,1590874268,65,17.8,133
2020-05-30 22:31,1590874272,65,18,121
2020-05-30 22:31,1590874276,64,18.7,111
2020-05-30 22:31,1590874280,64,19.6,117
2020-05-30 22:31,1590874284,64,20.1,104
2020-05-30 22:31,1590874288,64,20,118
2020-05-30 22:31,1590874292,64,19.7,108
2020-05-30 22:31,1590874296,65,19.2,104
2020-05-30 22:31,1590874300,65,19.3,123
2020-05-30 22:31,1590874304,65,19.1,96
2020-05-30 22:31,1590874308,65,18.9,122
2020-05-30 22:31,1590874312,65,18.3,100
2020-05-30 22:31,1590874316,65,18,112
2020-05-30 22:32,1590874320,65,18.2,107
2020-05-30 22:32,1590874324,65,18.8,114
2020-05-30 22:32,1590874328,65,19.4,117
2020-05-30 22:32,1590874332,65,19.3,118
2020-05-30 22:32,1590874336,65,19.7,97
2020-05-30 22:32,1590874340,65,19.1,410
2020-05-30 22:32,1590874344,65,18.5,461
2020-05-30 22:32,1590874348,65,17.8,170
2020-05-30 22:32,1590874352,65,17.6,93
2020-05-30 22:32,1590874356,65,17.6,117
2020-05-30 22:32,1590874360,64,17.6,122
2020-05-30 22:32,1590874364,64,17.6,101
2020-05-30 22:32,1590874368,64,17.6,118
2020-05-30 22:32,1590874372,64,17.6,106
2020-05-30 22:32,1590874376,64,17.5,119
2020-05-30 22:33,1590874380,64,17.5,111
2020-05-30 22:33,1590874384,64,17.5,117
2020-05-30 22:33,1590874388,65,17.6,107
2020-05-30 22:33,1590874392,65,18,120
2020-05-30 22:33,1590874396,65,18.1,100
2020-05-30 22:33,1590874400,65,17.9,112
2020-05-30 22:33,1590874404,65,17.8,101
2020-05-30 22:33,1590874408,65,18.1,110
2020-05-30 22:33,1590874412,65,18.2,98
2020-05-30 22:33,1590874416,65,18.2,483
2020-05-30 22:33,1590874420,65,18.3,118
2020-05-30 22:33,1590874424,65,18.4,425
2020-05-30 22:33,1590874428,65,18.5,769
2020-05-30 22:33,1590874432,65,18.5,535
2020-05-30 22:33,1590874436,65,18.5,113
2020-05-30 22:34,1590874440,65,18.5,278
2020-05-30 22:34,1590874444,65,18.5,89
2020-05-30 22:34,1590874448,65,18.5,114
2020-05-30 22:34,1590874452,65,18.5,279
2020-05-30 22:34,1590874456,65,18.5,128
2020-05-30 22:34,1590874460,65,18.5,109
2020-05-30 22:34,1590874464,65,18.5,107
2020-05-30 22:34,1590874468,65,18.5,121
