timestamp,rmssd,tp,lfn,hfn,r_hrv
1591392278,38.3,0.4,22.1,77.9,366.6
1591392458,36.2,0.5,21.7,78.3,114.5
1591392638,45.7,0.5,24.9,75.1,104.5
1591392788,40.2,0.4,25.7,74.3,460.9
1591393056,41.5,0.5,19.7,80.3,326.5
1591393236,41.9,0.5,18.8,81.2,222.9
1591393416,35.8,0.5,25.1,74.9,473.5
1591393596,47.1,0.4,19.3,80.7,301.5
1591393776,38.2,0.5,21.1,78.9,334.3
1591393955,,,,,242.2
1591394136,38.1,0.5,16.1,83.9,134.6
1591394316,45.5,0.5,26,74,504.6
1591394496,46.9,0.5,18.7,81.3,148.5
1591394676,46.9,0.5,40.3,59.7,166.5
1591394856,42.7,0.5,38.1,61.9,180.8
1591395036,47.3,0.5,31.3,68.7,493.3
1591395216,37.3,0.6,46.5,53.5,798.9
1591395396,42.9,0.5,24.3,75.7,75.1
1591395576,39.5,0.5,35.2,64.8,75.3
1591395756,36.2,0.5,23.4,76.6,75.4
1591395936,34.9,0.5,23.4,76.6,75.8
1591396116,32.7,0.5,27.2,72.8,75.1
1591396295,34,0.5,22.7,77.3,76.4
1591396476,31.8,0.5,20.4,79.6,507.3
1591396656,54,0.5,23.5,76.5,557.7
1591396836,45,0.5,25.2,74.8,141.6
1591397016,44.5,0.5,20.8,79.2,145
1591397196,39,0.5,22.5,77.5,146.4
1591397376,41.1,0.5,15,85,147.9
1591397556,38.2,0.5,14.8,85.2,780.6
1591397736,47.6,0.5,58.1,41.9,72.1
1591397916,,,,,199
1591398096,59.1,0.5,37.7,62.3,618.2
1591398276,70.4,0.5,21.7,78.3,308.3
1591398456,43.4,0.5,17.9,82.1,532.7
1591398635,31.1,0.5,39.6,60.4,123.4
1591398816,26.8,0.5,44.7,55.3,83.8
1591398996,27.5,0.5,46,54,81.8
1591399176,39.1,0.5,44.3,55.7,148.9
1591399356,27.8,0.5,25,75,79.9
1591399536,32.4,0.6,69.7,30.3,129.8
1591399716,53.4,0.5,34.6,65.4,831.9
1591399896,49.6,0.5,21.7,78.3,721.2
1591400076,,,,,215
1591400256,49.9,0.4,42.2,57.8,569.2
1591400436,52.6,0.4,49.4,50.6,73
1591400616,42.8,0.4,38.3,61.7,72.6
1591400796,38.4,0.4,33.1,66.9,70.7
1591400975,45.2,0.4,21.4,78.6,70.4
1591401156,40.5,0.4,29.6,70.4,71.7
1591401336,35.2,0.5,38.3,61.7,175.1
1591401516,40,0.4,17.4,82.6,71.9
1591401696,36,0.4,36.2,63.8,70.9
1591401876,37.1,0.4,30,70,70.1
1591402056,36.6,0.4,37.2,62.8,69.6
1591402236,36.6,0.4,29.2,70.8,70.2
1591402416,39.7,0.5,48.7,51.3,466.8
1591402596,46.2,0.5,23.9,76.1,413.1
1591402776,58.1,0.5,35.4,64.6,733.5
1591402956,54.4,0.4,30,70,146.2
1591403136,48.7,0.5,25.1,74.9,138.2
1591403315,55.7,0.5,26.1,73.9,150.1
1591403496,,,,,63.5
1591403676,,,,,222.7
1591403809,,,,,304.3
1591404142,,,,,157.4
1591404322,,,,,192.6
1591404502,67.1,0.4,26.6,73.4,82
1591404682,63.2,0.4,24.1,75.9,80.6
1591404862,58.3,0.5,38.5,61.5,227.5
1591405042,53,0.4,50.3,49.7,139.1
1591405223,47.6,0.5,63,37,83.8
1591405403,44.9,0.5,63,37,95
1591405583,49.4,0.4,32.2,67.8,92.9
1591405763,58.5,0.3,9,91,96.1
1591405942,35.4,0.5,43.3,56.7,104.4
1591406122,43.8,0.6,77.1,22.9,554
1591406302,42,0.5,21.8,78.2,103.2
1591406482,42.3,0.5,33.2,66.8,106.7
1591406662,40.3,0.5,15.2,84.8,110.5
1591406842,42.9,0.5,23.4,76.6,109.9
1591407022,39.6,0.5,23.5,76.5,108.9
1591407202,37.2,0.5,24.3,75.7,219.8
1591407382,44.6,0.5,38.4,61.6,402
1591407563,45.7,0.5,30.4,69.6,507.3
1591407743,48.6,0.5,28.8,71.2,33.6
1591407923,46.8,0.5,24.4,75.6,33.7
1591408103,39.2,0.5,18.5,81.5,35.7
1591408282,35,0.5,19.4,80.6,34.4
1591408462,39.5,0.5,16,84,34.9
1591408642,36.8,0.5,32.9,67.1,35.1
1591408822,38.2,0.5,24,76,416.5
1591409002,,,,,108.2
1591409182,39.4,0.4,23.3,76.7,229.9
1591409362,36.4,0.4,42,58,33.8
1591409542,44.8,0.4,26.2,73.8,249.7
1591409722,33.8,0.4,40.3,59.7,34.1
1591409903,45,0.4,23.7,76.3,36.1
1591410083,,,,,181.6
1591410263,45.2,0.5,40.7,59.3,459.9
1591410443,43.5,0.5,18.7,81.3,204.5
1591410622,19.7,0.5,56.7,43.3,94.9
1591410802,27.7,0.5,51.7,48.3,165.9
1591410982,22.5,0.5,60.6,39.4,102.5
1591411162,33.9,0.5,52.5,47.5,117
1591411342,30.5,0.5,75.2,24.8,848.3
1591411522,46.9,0.5,41.6,58.4,516.2
1591411702,40.4,0.5,26.7,73.3,106.6
1591411882,40.5,0.5,27.4,72.6,102.2
1591412062,39.7,0.5,28.2,71.8,105.5
1591412243,40.9,0.5,23.8,76.2,102.5
1591412423,39.9,0.5,38.1,61.9,303.7
1591412603,36.9,0.5,26.4,73.6,103.2
1591412783,35.1,0.5,28.7,71.3,111
1591412962,33,0.5,25.2,74.8,107.2
1591413142,30.8,0.5,25.8,74.2,106.3
1591413322,29.9,0.5,11.1,88.9,108.6
1591413502,31.7,0.5,20.3,79.7,183.7
1591413682,37.9,0.5,32.8,67.2,102
1591413862,37,0.5,30,70,104.9
1591414042,34.9,0.5,18.8,81.2,549.4
1591414222,47,0.5,37.8,62.2,785.4
1591414402,32.7,0.5,39.8,60.2,275.4
1591414583,34.5,0.5,45,55,82.6
1591414763,35.3,0.5,50.2,49.8,183.8
1591414943,28.2,0.5,64.6,35.4,101.7
1591415123,30.5,0.5,46.9,53.1,112.2
1591415302,19.9,0.5,66.6,33.4,441.2
1591415482,39.7,0.5,38,62,442.6
1591415662,43.5,0.5,24.5,75.5,507.4
1591415842,39.2,0.4,31.7,68.3,51.9
1591416022,38.7,0.4,37.1,62.9,49.7
1591416202,34.4,0.5,39.3,60.7,532
1591416382,49.5,0.5,26.1,73.9,245.5
1591416562,41.1,0.4,43.8,56.2,110.5
1591416742,41,0.5,21.1,78.9,659.1
1591416923,40.4,0.5,59.4,40.6,207.9
1591417103,46.9,0.5,24.8,75.2,25.8
1591417283,42.8,0.4,43,57,212.5
1591417463,51.5,0.4,37.5,62.5,133.9
1591417642,35.8,0.5,50.5,49.5,174.6
1591417822,,,,,234
1591418002,,,,,207
1591418182,62.5,0.5,38.6,61.4,418
1591418362,49.3,0.5,30.6,69.4,243.7
1591418542,,,,,85
1591418722,42.9,0.5,20.7,79.3,185.8
1591418902,,,,,143.1
1591419082,,,,,153
1591419263,,,,,132.5
1591419443,55.3,0.4,70.9,29.1,203.2
1591419623,85.9,0.4,34.9,65.1,424
1591419803,56.6,0.4,28.3,71.7,37.3
1591419982,51.9,0.4,24.7,75.3,73.6
1591420162,,,,,290.7
1591420342,,,,,237.3
1591420522,50,0.4,39.7,60.3,40.4
1591420702,58.4,0.5,34.9,65.1,507.2
1591420882,,,,,127.9
1591421062,43,0.4,35,65,50
1591421242,47,0.4,37.9,62.1,51.2
1591421422,39.3,0.4,29.5,70.5,50
1591421603,39.5,0.4,25.5,74.5,51.2
1591421783,37.3,0.4,16.2,83.8,51.9
1591421963,34.3,0.5,51.5,48.5,474.1
1591422143,43.4,0.4,20.8,79.2,263.9
1591422322,51.4,0.5,50.6,49.4,133.2
1591422502,42.9,0.4,43.1,56.9,31.9
1591422682,43.9,0.5,66.1,33.9,597.9
1591422862,50.8,0.4,25,75,40.2
1591423042,44,0.5,28.5,71.5,41.6
1591423245,39.1,0.5,69.8,30.2,544.1
1591423425,51,0.5,44.3,55.7,114.1
1591423605,44.2,0.5,25.7,74.3,108.7
1591423785,47,0.4,33,67,116.5
1591423966,38.1,0.5,37.9,62.1,168.2
1591424146,33.6,0.6,74,26,179.1
1591424326,25.8,0.5,70.1,29.9,156
1591424506,33.7,0.5,43.7,56.3,133.9
1591424685,42.8,0.5,26.3,73.7,135.8
1591424865,56.5,0.5,42.3,57.7,409.4
