timestamp,rmssd,tp,lfn,hfn,r_hrv
1591296701,,,,,177.2
1591296881,,,,,86.2
1591297061,22.5,0.6,42.2,57.8,156.3
1591297241,,,,,83.2
1591297420,32.9,0.7,75.5,24.5,111.9
1591297600,,,,,135.2
1591297781,,,,,42.6
1591297961,,,,,49.5
1591298141,19.3,0.5,26.2,73.8,183.7
1591298321,,,,,117.9
1591298501,30.7,0.5,29.3,70.7,119.3
1591298681,,,,,302.5
1591298861,,,,,177.5
1591299041,,,,,229.3
1591299221,20.5,0.5,44.6,55.4,488.4
1591299401,28.7,0.3,39.4,60.6,370.6
1591299581,,,,,255.1
1591299760,,,,,129.5
1591299940,,,,,381.9
1591300121,,,,,297.2
1591300301,21.7,0.6,40.4,59.6,223.1
1591300481,29.1,0.5,62.3,37.7,247.8
1591300661,21.7,0.5,32.1,67.9,383
1591300841,,,,,132.4
1591301021,25.5,0.5,25.2,74.8,266
1591301201,,,,,232.1
1591301381,,,,,255.9
1591301561,42.8,0.4,36.2,63.8,547.3
1591301741,,,,,274.1
1591301921,,,,,292
1591302100,,,,,43.8
1591302280,32.7,0.6,45.6,54.4,540.9
1591302461,38.3,0.5,19.1,80.9,542.8
1591302641,33.2,0.5,52.8,47.2,391.9
1591302821,24.2,0.5,49.7,50.3,449.8
1591303001,27.5,0.5,42.2,57.8,497.8
1591303502,,,,,300
1591303682,37,0.5,19.5,80.5,532.8
1591303862,,,,,226.2
1591304042,,,,,191.5
1591304222,,,,,186.5
1591304402,,,,,212
1591304583,,,,,201.6
1591304763,27,0.4,24.9,75.1,161.1
1591304943,37.8,0.5,30.5,69.5,388.1
1591305123,37.6,0.5,60,40,499.3
1591305523,45.8,0.5,28.5,71.5,926.6
1591305703,32.3,0.5,18.7,81.3,119.8
1591305883,32,0.5,27.6,72.4,199.5
1591306063,39,0.5,27.9,72.1,191
1591306243,45.5,0.4,11.2,88.8,514.2
1591306423,44,0.4,29.3,70.7,257.1
1591306604,36.3,0.4,31,69,528.9
1591306784,51.2,0.5,39.8,60.2,257.6
1591306964,61.4,0.4,27.7,72.3,123.4
1591307143,64.8,0.5,27.3,72.7,138.3
1591307323,46.7,0.5,31.9,68.1,610.7
1591307503,48.6,0.5,13,87,690.5
1591307683,55.4,0.5,32.3,67.7,82.5
1591307863,51.4,0.5,23.5,76.5,81.3
1591308043,47,0.5,22.9,77.1,81.7
1591308223,42.6,0.5,17.1,82.9,84.2
1591308403,35.4,0.5,25.4,74.6,81.1
1591308583,37.7,0.5,18.3,81.7,81
1591308763,41.2,0.5,24.6,75.4,676.2
1591308944,54.4,0.5,22.3,77.7,603
1591309124,65.4,0.4,16.6,83.4,128.2
1591309304,55.2,0.4,39.5,60.5,294.9
1591309483,50.7,0.5,23.3,76.7,115.5
1591309663,52.3,0.4,20.2,79.8,125.9
1591309843,49.6,0.5,32.8,67.2,290.7
1591310023,51.8,0.5,23,77,513.4
1591310203,54.7,0.4,38.8,61.2,525.5
1591310383,,,,,180.5
1591310563,69.7,0.4,22.5,77.5,222.7
1591310743,49.7,0.5,50.6,49.4,78.6
1591310923,43.4,0.5,49.1,50.9,77.4
1591311103,47.9,0.4,23.7,76.3,77.7
1591311284,47,0.5,47.8,52.2,522.7
1591311464,,,,,248.5
1591311644,34.4,0.5,34.6,65.4,59.7
1591311823,41.2,0.5,22.3,77.7,62
1591312003,45.4,0.5,17.6,82.4,481.2
1591312183,45.9,0.5,24.8,75.2,871.6
1591312363,45.4,0.5,23.5,76.5,148.8
1591312543,49.7,0.5,21.6,78.4,132.8
1591312752,46.7,0.5,15.7,84.3,129.9
1591312932,47.2,0.5,11.4,88.6,133.2
1591313112,42.6,0.5,17.8,82.2,129.3
1591313292,42.9,0.5,17.4,82.6,130.4
1591313472,39.4,0.5,18,82,135.4
