at,timestamp,hr,rr,act
2020-06-16 03:18,1592270296,,,118
2020-06-16 03:18,1592270300,91,,151
2020-06-16 03:18,1592270304,91,,207
2020-06-16 03:18,1592270308,86,,17204
2020-06-16 03:18,1592270312,73,,32767
2020-06-16 03:18,1592270316,73,,1771
2020-06-16 03:18,1592270320,73,,309
2020-06-16 03:18,1592270324,73,,383
2020-06-16 03:18,1592270328,73,,207
2020-06-16 03:18,1592270332,73,,149
2020-06-16 03:18,1592270336,73,,107
2020-06-16 03:19,1592270340,72,,224
2020-06-16 03:19,1592270344,72,,371
2020-06-16 03:19,1592270348,72,,171
2020-06-16 03:19,1592270352,72,,227
2020-06-16 03:19,1592270356,72,,256
2020-06-16 03:19,1592270360,72,,183
2020-06-16 03:19,1592270364,72,,168
2020-06-16 03:19,1592270368,72,,161
2020-06-16 03:19,1592270372,72,,244
2020-06-16 03:19,1592270376,72,,206
2020-06-16 03:19,1592270380,72,,277
2020-06-16 03:19,1592270384,72,,219
2020-06-16 03:19,1592270388,72,,554
2020-06-16 03:19,1592270392,72,,152
2020-06-16 03:19,1592270396,72,,185
2020-06-16 03:20,1592270400,72,,96
2020-06-16 03:20,1592270404,73,,607
2020-06-16 03:20,1592270408,73,,79
2020-06-16 03:20,1592270412,73,,189
2020-06-16 03:20,1592270416,73,,13846
2020-06-16 03:20,1592270420,73,,16463
2020-06-16 03:20,1592270424,73,,4721
2020-06-16 03:20,1592270428,73,,1200
2020-06-16 03:20,1592270432,73,,298
2020-06-16 03:20,1592270436,,,322
2020-06-16 03:20,1592270440,,,486
2020-06-16 03:20,1592270444,,,92
2020-06-16 03:20,1592270448,,,238
2020-06-16 03:20,1592270452,,,229
2020-06-16 03:20,1592270456,,,114
2020-06-16 03:21,1592270460,,,79
2020-06-16 03:21,1592270464,,,590
2020-06-16 03:21,1592270468,,,340
2020-06-16 03:21,1592270472,,,122
2020-06-16 03:21,1592270476,,,145
2020-06-16 03:21,1592270480,,,147
2020-06-16 03:21,1592270484,,,148
2020-06-16 03:21,1592270488,74,,185
2020-06-16 03:21,1592270492,76,,170
2020-06-16 03:21,1592270496,77,,229
2020-06-16 03:21,1592270500,78,,169
2020-06-16 03:21,1592270504,77,,177
2020-06-16 03:21,1592270508,76,9.3,81
2020-06-16 03:21,1592270512,77,9.3,186
2020-06-16 03:21,1592270516,77,9.3,137
2020-06-16 03:22,1592270520,77,,536
2020-06-16 03:22,1592270524,77,18.2,150
2020-06-16 03:22,1592270528,76,17,227
2020-06-16 03:22,1592270532,75,16.5,599
2020-06-16 03:22,1592270536,74,16.1,121
2020-06-16 03:22,1592270540,57,16.1,237
2020-06-16 03:22,1592270544,45,16.1,1113
2020-06-16 03:22,1592270548,45,16.1,115
2020-06-16 03:22,1592270552,45,16.1,404
2020-06-16 03:22,1592270556,45,16.1,823
2020-06-16 03:22,1592270560,45,16.1,106
2020-06-16 03:22,1592270564,45,16.1,602
2020-06-16 03:22,1592270568,45,16.1,183
2020-06-16 03:22,1592270572,45,16.1,314
2020-06-16 03:22,1592270576,45,16.1,182
2020-06-16 03:23,1592270580,45,16.1,130
2020-06-16 03:23,1592270584,45,16.1,169
2020-06-16 03:23,1592270588,56,16.1,178
2020-06-16 03:23,1592270592,74,16.1,226
2020-06-16 03:23,1592270596,74,16.1,97
2020-06-16 03:23,1592270600,74,16.1,117
2020-06-16 03:23,1592270604,77,16.1,288
2020-06-16 03:23,1592270608,77,16,161
2020-06-16 03:23,1592270612,75,15.9,134
2020-06-16 03:23,1592270616,74,15.9,162
2020-06-16 03:23,1592270620,76,16.2,201
2020-06-16 03:23,1592270624,77,16.8,167
2020-06-16 03:23,1592270628,76,18,137
2020-06-16 03:23,1592270632,75,18.7,200
2020-06-16 03:23,1592270636,73,19,265
2020-06-16 03:24,1592270640,73,18.9,32767
2020-06-16 03:24,1592270644,73,18.9,3199
2020-06-16 03:24,1592270648,73,18.9,455
2020-06-16 03:24,1592270652,73,18.9,2012
2020-06-16 03:24,1592270656,73,18.9,3646
2020-06-16 03:24,1592270660,73,18.9,271
2020-06-16 03:24,1592270664,73,18.9,38
2020-06-16 03:24,1592270668,73,18.9,41
2020-06-16 03:24,1592270672,73,18.9,33
2020-06-16 03:24,1592270676,,,0
2020-06-16 03:24,1592270680,,,0
2020-06-16 03:24,1592270684,,,0
2020-06-16 03:24,1592270688,,,0
2020-06-16 03:26,1592270808,,,0
2020-06-16 03:27,1592270848,79,,169
2020-06-16 03:27,1592270852,79,22,93
2020-06-16 03:27,1592270856,77,22,84
2020-06-16 03:27,1592270860,75,22,126
2020-06-16 03:27,1592270864,74,22,517
2020-06-16 03:27,1592270868,73,22,2248
2020-06-16 03:27,1592270872,75,22,10606
2020-06-16 03:27,1592270876,78,22,263
2020-06-16 03:28,1592270880,78,22,96
2020-06-16 03:28,1592270884,78,22,451
2020-06-16 03:28,1592270888,78,22,165
2020-06-16 03:28,1592270892,78,22,106
2020-06-16 03:28,1592270896,78,22,105
2020-06-16 03:28,1592270900,78,22,132
2020-06-16 03:28,1592270904,77,22,126
2020-06-16 03:28,1592270908,75,22,102
2020-06-16 03:28,1592270912,75,22,112
2020-06-16 03:28,1592270916,75,22,115
2020-06-16 03:28,1592270920,74,22,122
2020-06-16 03:28,1592270924,75,22,111
2020-06-16 03:28,1592270928,77,21.9,127
2020-06-16 03:28,1592270932,78,21.4,108
2020-06-16 03:28,1592270936,76,20.9,94
2020-06-16 03:29,1592270940,78,20.6,12638
2020-06-16 03:29,1592270944,79,20.5,1165
2020-06-16 03:29,1592270948,79,20.5,2524
2020-06-16 03:29,1592270952,79,20.5,511
2020-06-16 03:29,1592270956,79,20.5,923
2020-06-16 03:29,1592270960,79,20.5,3105
2020-06-16 03:29,1592270964,79,20.5,555
2020-06-16 03:29,1592270968,79,20.5,149
2020-06-16 03:29,1592270972,79,20.5,129
2020-06-16 03:29,1592270976,78,20.5,4724
2020-06-16 03:29,1592270980,76,20.5,308
2020-06-16 03:29,1592270984,76,20.5,24088
2020-06-16 03:29,1592270988,77,20.5,3188
2020-06-16 03:29,1592270992,77,20.5,92
2020-06-16 03:29,1592270996,77,20.5,72
2020-06-16 03:30,1592271000,77,20.5,82
2020-06-16 03:30,1592271004,77,20.5,105
2020-06-16 03:30,1592271008,77,20.5,81
2020-06-16 03:30,1592271012,77,20.5,78
2020-06-16 03:30,1592271016,78,20.5,95
2020-06-16 03:30,1592271020,77,20.5,83
2020-06-16 03:30,1592271024,75,20.5,80
2020-06-16 03:30,1592271028,74,20.5,104
2020-06-16 03:30,1592271032,73,20.3,60
2020-06-16 03:30,1592271036,73,20.2,102
2020-06-16 03:30,1592271040,73,20.3,93
2020-06-16 03:30,1592271044,72,20.4,67
2020-06-16 03:30,1592271048,73,20.5,101
2020-06-16 03:30,1592271052,73,20.6,96
2020-06-16 03:30,1592271056,73,20.8,80
2020-06-16 03:31,1592271060,73,20.8,94
2020-06-16 03:31,1592271064,73,20.8,81
2020-06-16 03:31,1592271068,75,20.8,97
2020-06-16 03:31,1592271072,75,20.8,94
2020-06-16 03:31,1592271076,76,20.8,64
2020-06-16 03:31,1592271080,74,20.6,69
2020-06-16 03:31,1592271084,74,20.5,72
2020-06-16 03:31,1592271088,72,20.4,74
2020-06-16 03:31,1592271092,71,20.2,57
2020-06-16 03:31,1592271096,70,20,59
2020-06-16 03:31,1592271100,72,19.4,57
2020-06-16 03:31,1592271104,72,18.6,75
2020-06-16 03:31,1592271108,73,17.5,64
2020-06-16 03:31,1592271112,74,16.6,99
2020-06-16 03:31,1592271116,74,16.2,70
2020-06-16 03:32,1592271120,73,16.1,90
2020-06-16 03:32,1592271124,73,16.1,61
2020-06-16 03:32,1592271128,72,16.1,68
2020-06-16 03:32,1592271132,72,16.2,62
2020-06-16 03:32,1592271136,72,16.3,67
2020-06-16 03:32,1592271140,72,16.3,56
2020-06-16 03:32,1592271144,72,16.3,52
2020-06-16 03:32,1592271148,71,16.4,61
2020-06-16 03:32,1592271152,72,16.5,55
2020-06-16 03:32,1592271156,73,16.4,88
2020-06-16 03:32,1592271160,74,16.3,67
2020-06-16 03:32,1592271164,75,16,53
2020-06-16 03:32,1592271168,75,16,75
2020-06-16 03:32,1592271172,75,16.3,88
2020-06-16 03:32,1592271176,75,16.8,98
2020-06-16 03:33,1592271180,75,17.2,84
2020-06-16 03:33,1592271184,75,17.5,60
2020-06-16 03:33,1592271188,74,17.6,85
2020-06-16 03:33,1592271192,74,17.6,79
2020-06-16 03:33,1592271196,73,17.8,50
2020-06-16 03:33,1592271200,73,17.7,77
2020-06-16 03:33,1592271204,73,17.6,75
2020-06-16 03:33,1592271208,72,17.5,84
