timestamp,rmssd,tp,lfn,hfn,r_hrv
1591906374,31.3,0.5,23,77,679.9
1591906474,,,,,449
1591906725,30.6,0.5,30.6,69.4,413
1591906904,,,,,90.8
1591907084,,,,,64.2
1591907264,23.2,0.5,17.4,82.6,236
1591907444,,,,,60.2
1591907624,23.1,0.5,15.5,84.5,137.8
1591907805,36.1,0.6,62.8,37.2,253.6
1591907985,22.3,0.5,41,59,183.7
1591908165,29.6,0.6,35.9,64.1,186.5
1591908300,33.7,0.5,29.7,70.3,664.3
1591908529,41.4,0.5,20.8,79.2,221.9
1591908709,,,,,37.8
1591908889,24.2,0.5,59.6,40.4,216.9
1591909069,24.1,0.6,54.7,45.3,291.5
1591909249,,,,,232.9
1591909429,,,,,307.7
1591909609,,,,,227.3
1591909789,,,,,244.9
1591909969,26.4,0.5,37.5,62.5,467.6
1591910149,42.4,0.6,55.6,44.4,417
1591910329,30.8,0.4,17.9,82.1,440
1591910509,34.4,0.5,31.1,68.9,471
1591910678,,,,,308.4
1591911025,,,,,230.4
1591911205,,,,,220.7
1591911385,,,,,233.4
1591911565,22.4,0.6,38.2,61.8,121.7
1591911745,26.2,0.5,29,71,128
1591911925,33.4,0.5,36.2,63.8,342.7
1591912105,24.3,0.5,37.3,62.7,564.3
1591912285,39.2,0.5,39.6,60.4,807.2
1591912465,38.3,0.5,17.7,82.3,336.6
1591912645,39.8,0.5,27.2,72.8,264.7
1591912825,38,0.5,35.8,64.2,534.3
1591913005,,,,,36.1
1591913185,,,,,34.3
1591913365,30.9,0.5,30.8,69.2,333.4
1591913545,37.1,0.5,24.6,75.4,451.4
1591913756,30.4,0.5,39.9,60.1,137.9
1591913936,31.5,0.5,23,77,138.5
1591914116,24,0.5,30.1,69.9,139.1
1591914296,,,,,27.7
1591914476,,,,,28.7
1591914656,,,,,26.5
1591914836,29.1,0.5,28.9,71.1,137.6
1591915016,44.6,0.5,38.8,61.2,610
1591915196,39.7,0.5,44.7,55.3,528.4
1591915376,50.7,0.5,27.7,72.3,209.9
1591915556,56.4,0.5,30.6,69.4,98
1591915736,21.1,0.5,44,56,106.9
1591915916,35.5,0.5,49.9,50.1,101.3
1591916096,52.4,0.5,54,46,358.7
1591916276,46,0.5,33.4,66.6,143.9
1591916456,39.3,0.5,45.1,54.9,850.9
1591916636,39.6,0.5,32.6,67.4,220.2
1591916816,35.4,0.5,34.2,65.8,82.3
1591916996,36.1,0.5,40.2,59.8,83.4
1591917176,36.7,0.5,26.3,73.7,82.3
1591917356,35,0.5,29.1,70.9,81.8
1591917536,38.1,0.5,38.6,61.4,646
1591917716,66.8,0.5,38.9,61.1,423
1591917896,50.7,0.4,20.2,79.8,82.9
1591918076,51.4,0.4,18.4,81.6,696.3
1591918256,41.8,0.5,32.4,67.6,836.6
1591918436,38.3,0.5,31.9,68.1,562.6
1591918616,40.4,0.5,63,37,648.3
1591918750,,,,,434
1591919096,,,,,180.2
1591919276,,,,,139.4
1591919456,,,,,187.9
1591919636,,,,,139.4
1591919816,,,,,206.6
1591919996,,,,,75.7
1591920177,,,,,60.5
1591920357,,,,,70.1
1591920537,,,,,60.9
1591920716,,,,,63.1
1591920896,,,,,94.7
1591921076,53.8,0.4,21.3,78.7,49.5
1591921256,49.2,0.4,22.9,77.1,236.2
1591921436,42.4,0.5,50,50,57.9
1591921616,32.1,0.5,39.8,60.2,62.2
1591921796,24.2,0.5,47.6,52.4,67
1591921976,42.3,0.5,58.5,41.5,507.1
1591922156,55.5,0.5,43.2,56.8,96
1591922336,45.9,0.5,63.7,36.3,459.3
1591922517,39.7,0.5,40.9,59.1,110.9
1591922697,35.5,0.5,28,72,493.3
1591922877,,,,,118.6
1591923056,67.2,0.5,46.5,53.5,740
1591923236,54.2,0.4,49.3,50.7,469.4
1591923416,50.7,0.5,32.7,67.3,97.6
1591923596,43.2,0.4,39.3,60.7,97.5
1591923776,46.9,0.4,29.1,70.9,93.8
1591923956,48.8,0.5,24.2,75.8,96
1591924136,40.7,0.5,23.1,76.9,92
1591924316,44.1,0.5,27.2,72.8,93.5
1591924496,39.3,0.5,40.2,59.8,86.1
1591924676,47,0.4,31.7,68.3,531.6
1591924857,41.9,0.5,18.1,81.9,136.1
1591925037,48.5,0.5,25.4,74.6,612.7
1591925217,42,0.5,31.2,68.8,32.4
1591925396,,,,,43.2
1591925576,46.8,0.5,22.3,77.7,700.9
1591925756,50.5,0.5,18,82,59.5
1591925936,49.2,0.5,12.7,87.3,59
1591926116,48.8,0.5,18.7,81.3,59.8
1591926296,54,0.5,23,77,59.7
1591926476,44.2,0.5,19,81,60.6
1591926656,43.1,0.5,18.7,81.3,447.1
1591926836,41,0.4,28.1,71.9,577.8
1591927016,36.2,0.5,33.1,66.9,382.9
1591927197,37.8,0.5,26.9,73.1,74.9
1591927377,33.2,0.5,22.6,77.4,77.7
1591927557,24.2,0.5,67.5,32.5,246
1591927736,38.8,0.4,39.8,60.2,372.5
1591927916,40.4,0.5,52.4,47.6,123.6
1591928096,34,0.5,43.4,56.6,43.2
1591928276,31,0.5,58.2,41.8,44.4
1591928456,,,,,112.3
1591928636,45.2,0.5,30.3,69.7,781.1
1591928816,38.4,0.5,33.2,66.8,281.1
1591928996,38.6,0.5,31.2,68.8,109.8
1591929176,50.5,0.5,26.7,73.3,452.1
1591929356,44.1,0.4,29.3,70.7,50
1591929537,45.6,0.4,22.1,77.9,928.5
1591929717,,,,,233.9
1591929897,,,,,275.8
1591930076,,,,,258.8
1591930256,,,,,221.6
1591930436,,,,,195.6
1591930616,,,,,239.4
1591930796,52.1,0.4,23.2,76.8,441.3
1591930976,39.5,0.4,40,60,118
1591931156,44.3,0.4,12.9,87.1,40
1591931336,32,0.4,46.7,53.3,39.4
1591931516,33,0.4,25.9,74.1,39.8
1591931696,41.8,0.4,31.9,68.1,40.9
1591931877,29.4,0.4,47.2,52.8,39.6
1591932057,34.8,0.4,33.1,66.9,40.2
1591932237,36.8,0.4,29.5,70.5,40.1
1591932416,,,,,62.1
1591932596,,,,,72.9
1591932776,42.4,0.5,33.7,66.3,414.9
1591932956,40.8,0.5,36.1,63.9,100.9
1591933136,36.8,0.5,41.7,58.3,107.6
1591933316,,,,,16.3
1591933496,18.5,0.5,61.8,38.2,137.3
1591933676,22.4,0.5,73.6,26.4,138.5
1591933856,29.8,0.5,54.9,45.1,404.3
1591934036,44,0.4,32,68,46.1
1591934217,42.5,0.5,55.1,44.9,29.8
1591934397,28.2,0.5,63.2,36.8,30.6
1591934577,,,,,224.8
1591934756,41.5,0.5,20.6,79.4,159.9
1591934936,50.5,0.5,35.4,64.6,489.6
1591935116,,,,,312.8
1591935296,,,,,287.7
1591935476,54.3,0.4,34.6,65.4,69.8
1591935656,55.7,0.4,21.5,78.5,69.9
1591935836,50.5,0.5,26.1,73.9,68.3
1591936016,44.6,0.4,32.2,67.8,584.2
1591936196,39,0.5,29.5,70.5,289.9
1591936376,37.2,0.5,31.4,68.6,201.4
1591936557,20.9,0.5,74.7,25.3,385.5
1591936737,,,,,183.4
1591936917,51.8,0.4,41.6,58.4,369.4
1591937096,66,0.4,50.5,49.5,408.3
1591937276,56.6,0.4,24.9,75.1,504.9
1591937456,50.5,0.4,18.6,81.4,330.8
1591937636,40.9,0.4,42.3,57.7,133.7
1591937816,45.6,0.5,35.1,64.9,439.1
1591937996,46.8,0.4,34.4,65.6,29.2
1591938176,42.3,0.4,22.9,77.1,31.2
1591938356,34.8,0.5,47.3,52.7,31.5
1591938536,37.5,0.4,43,57,32.2
1591938716,34.5,0.4,32.8,67.2,32
1591938897,33.7,0.4,51.8,48.2,35.4
1591939077,34.4,0.5,47.3,52.7,31.9
1591939257,36.7,0.4,40.7,59.3,33.3
1591939436,,,,,47
1591939616,35.4,0.5,52.7,47.3,320.7
1591939796,,,,,102.7
1591939976,46.7,0.5,33.6,66.4,133.1
1591940156,50.7,0.4,32.1,67.9,474.4
1591940336,73.8,0.4,22.3,77.7,586.5
1591940516,60.5,0.4,18,82,151
1591940696,61.4,0.4,31.9,68.1,159.6
1591940876,55.3,0.5,27.8,72.2,109.8
1591941056,48.2,0.5,60.1,39.9,144.3
1591941237,54.3,0.5,65.3,34.7,334
1591941417,32.3,0.5,34.7,65.3,73.4
1591941597,40.3,0.5,38.6,61.4,283.7
1591941776,44.1,0.4,15.6,84.4,107.8
1591941956,45.8,0.5,37.8,62.2,338
1591942136,47.6,0.5,22.3,77.7,203.2
1591942316,38.3,0.4,51.6,48.4,558.5
1591942496,,,,,150.4
1591942676,42.2,0.5,55.7,44.3,106
1591942798,,,,,272.3
1591943092,,,,,278.8
1591943272,,,,,257.5
1591943452,,,,,316.3
1591943632,,,,,302.1
1591943812,,,,,337.2
1591943992,,,,,317.9
1591944173,,,,,375
1591944353,,,,,343.6
1591944532,,,,,180.2
1591944712,,,,,288.1
1591944878,,,,,366.1
