at,timestamp,hr,rr,act
2020-05-31 22:53,1590962027,71,,144
2020-05-31 22:53,1590962031,71,,142
2020-05-31 22:53,1590962035,71,,204
2020-05-31 22:53,1590962039,71,,152
2020-05-31 22:54,1590962043,72,,176
2020-05-31 22:54,1590962047,71,,175
2020-05-31 22:54,1590962051,71,,150
2020-05-31 22:54,1590962055,70,,192
2020-05-31 22:54,1590962059,69,,157
2020-05-31 22:54,1590962063,71,,192
2020-05-31 22:54,1590962067,70,,199
2020-05-31 22:54,1590962071,69,,187
2020-05-31 22:54,1590962075,69,22.3,197
2020-05-31 22:54,1590962079,69,21.6,398
2020-05-31 22:54,1590962083,70,20.9,468
2020-05-31 22:54,1590962087,69,20.3,140
2020-05-31 22:54,1590962091,69,20.1,125
2020-05-31 22:54,1590962095,70,20,153
2020-05-31 22:54,1590962099,74,20,158
2020-05-31 22:55,1590962103,76,20,161
2020-05-31 22:55,1590962107,77,20,148
2020-05-31 22:55,1590962111,76,20,162
2020-05-31 22:55,1590962115,74,20,141
2020-05-31 22:55,1590962119,73,20.1,150
2020-05-31 22:55,1590962123,70,20.1,149
2020-05-31 22:55,1590962127,69,19.9,137
2020-05-31 22:55,1590962131,69,19.5,149
2020-05-31 22:55,1590962135,68,19.3,146
2020-05-31 22:55,1590962139,69,19.3,138
2020-05-31 22:55,1590962143,71,19.2,146
2020-05-31 22:55,1590962147,73,18.8,168
2020-05-31 22:55,1590962151,73,18.5,141
2020-05-31 22:55,1590962155,74,18.4,149
2020-05-31 22:55,1590962159,74,18.4,137
2020-05-31 22:56,1590962163,76,18.3,138
2020-05-31 22:56,1590962167,75,18.3,149
2020-05-31 22:56,1590962171,75,18.4,147
2020-05-31 22:56,1590962175,75,18.5,144
2020-05-31 22:56,1590962179,74,18.6,1123
2020-05-31 22:56,1590962183,73,18.6,128
2020-05-31 22:56,1590962187,73,18.6,147
2020-05-31 22:56,1590962191,73,18.4,156
2020-05-31 22:56,1590962195,71,18.2,141
2020-05-31 22:56,1590962199,71,18.2,158
2020-05-31 22:56,1590962203,73,18.2,143
2020-05-31 22:56,1590962207,75,18.2,158
2020-05-31 22:56,1590962211,76,18.2,127
2020-05-31 22:56,1590962215,77,18.2,129
2020-05-31 22:56,1590962219,77,18.3,142
2020-05-31 22:57,1590962223,77,18.4,144
2020-05-31 22:57,1590962227,76,18.4,144
2020-05-31 22:57,1590962231,75,18.3,133
2020-05-31 22:57,1590962235,75,18.3,293
2020-05-31 22:57,1590962239,76,18.4,307
2020-05-31 22:57,1590962243,78,18.5,168
2020-05-31 22:57,1590962247,76,18.5,143
2020-05-31 22:57,1590962251,73,18.5,139
2020-05-31 22:57,1590962255,72,18.5,159
2020-05-31 22:57,1590962259,74,18.5,175
2020-05-31 22:57,1590962263,74,18.4,162
2020-05-31 22:57,1590962267,74,18.3,131
2020-05-31 22:57,1590962271,75,18.1,337
2020-05-31 22:57,1590962275,77,18,5696
2020-05-31 22:57,1590962279,77,18,7550
2020-05-31 22:58,1590962283,77,18,734
2020-05-31 22:58,1590962287,77,18,115
2020-05-31 22:58,1590962291,77,18,4129
2020-05-31 22:58,1590962295,77,18,112
2020-05-31 22:58,1590962299,77,18,64
2020-05-31 22:58,1590962303,77,18,28
2020-05-31 22:58,1590962307,77,18,28
2020-05-31 22:58,1590962311,77,18,3
2020-05-31 22:58,1590962315,77,18,3
2020-05-31 22:58,1590962319,,,0
2020-05-31 22:58,1590962323,,,0
2020-05-31 22:58,1590962327,,,0
