at,timestamp,hr,rr,act
2020-06-16 23:05,1592341554,,,337
2020-06-16 23:05,1592341558,,,1276
2020-06-16 23:06,1592341562,,,140
2020-06-16 23:06,1592341566,,,108
2020-06-16 23:06,1592341570,,,118
2020-06-16 23:06,1592341574,66,,112
2020-06-16 23:06,1592341578,66,,119
2020-06-16 23:06,1592341582,66,,133
2020-06-16 23:06,1592341586,64,,118
2020-06-16 23:06,1592341590,64,,124
2020-06-16 23:06,1592341594,64,,116
2020-06-16 23:06,1592341598,64,,130
2020-06-16 23:06,1592341602,64,,104
2020-06-16 23:06,1592341606,64,,121
2020-06-16 23:06,1592341610,64,,125
2020-06-16 23:06,1592341614,64,11.9,135
2020-06-16 23:06,1592341618,63,11.9,108
2020-06-16 23:07,1592341622,63,11.9,121
2020-06-16 23:07,1592341626,63,11.9,100
2020-06-16 23:07,1592341630,64,11.9,1426
2020-06-16 23:07,1592341634,64,12,86
2020-06-16 23:07,1592341638,64,12.4,109
2020-06-16 23:07,1592341642,64,12.8,99
2020-06-16 23:07,1592341646,64,13,107
2020-06-16 23:07,1592341650,64,13,127
2020-06-16 23:07,1592341654,64,13,116
2020-06-16 23:07,1592341658,65,13,94
2020-06-16 23:07,1592341662,65,13,106
2020-06-16 23:07,1592341666,64,,127
2020-06-16 23:07,1592341670,64,,114
2020-06-16 23:07,1592341674,64,16.4,168
2020-06-16 23:07,1592341678,63,16.5,112
2020-06-16 23:08,1592341682,63,16.8,131
2020-06-16 23:08,1592341686,64,17.7,126
2020-06-16 23:08,1592341690,65,18.6,120
2020-06-16 23:08,1592341694,65,18.9,129
2020-06-16 23:08,1592341698,65,18.9,111
2020-06-16 23:08,1592341702,65,18.9,105
2020-06-16 23:08,1592341706,65,18.8,227
2020-06-16 23:08,1592341710,65,18.6,108
2020-06-16 23:08,1592341714,65,18.2,107
2020-06-16 23:08,1592341718,65,17.8,91
2020-06-16 23:08,1592341722,65,17.8,103
2020-06-16 23:08,1592341726,65,17.8,125
2020-06-16 23:08,1592341730,65,17.9,98
2020-06-16 23:08,1592341734,65,18.2,95
2020-06-16 23:08,1592341738,65,18.4,126
2020-06-16 23:09,1592341742,65,18.4,428
2020-06-16 23:09,1592341746,65,18.6,197
2020-06-16 23:09,1592341750,65,18.7,126
2020-06-16 23:09,1592341754,65,18.8,127
2020-06-16 23:09,1592341758,65,18.7,111
2020-06-16 23:09,1592341762,65,18.7,91
2020-06-16 23:09,1592341766,65,18.7,107
2020-06-16 23:09,1592341770,66,19.1,117
2020-06-16 23:09,1592341774,66,19.3,142
2020-06-16 23:09,1592341778,66,19.6,113
2020-06-16 23:09,1592341782,68,19.8,122
2020-06-16 23:09,1592341786,69,20.1,110
2020-06-16 23:09,1592341790,68,20.5,118
2020-06-16 23:09,1592341794,68,20.4,130
2020-06-16 23:09,1592341798,67,20.3,144
