at,timestamp,hr,rr,act
2020-06-24 22:51,1593031891,67,,241
2020-06-24 22:51,1593031895,67,,286
2020-06-24 22:51,1593031899,67,,304
2020-06-24 22:51,1593031903,68,,270
2020-06-24 22:51,1593031907,68,,301
2020-06-24 22:51,1593031911,68,,189
2020-06-24 22:51,1593031915,68,,7362
2020-06-24 22:51,1593031919,67,,233
2020-06-24 22:52,1593031923,67,,250
2020-06-24 22:52,1593031927,68,,311
2020-06-24 22:52,1593031931,68,,204
2020-06-24 22:52,1593031935,67,,209
2020-06-24 22:52,1593031939,69,,211
2020-06-24 22:52,1593031943,69,21.5,225
2020-06-24 22:52,1593031947,68,21.2,226
2020-06-24 22:52,1593031951,68,21.1,240
2020-06-24 22:52,1593031955,66,21,246
2020-06-24 22:52,1593031959,65,21,222
2020-06-24 22:52,1593031963,65,21.1,221
2020-06-24 22:52,1593031967,65,21.3,317
2020-06-24 22:52,1593031971,64,21.2,260
2020-06-24 22:52,1593031975,64,21,256
2020-06-24 22:52,1593031979,64,20.9,259
2020-06-24 22:53,1593031983,64,21.1,293
2020-06-24 22:53,1593031987,64,21.5,208
2020-06-24 22:53,1593031991,65,21.7,230
2020-06-24 22:53,1593031995,65,21.8,290
2020-06-24 22:53,1593031999,66,21.5,316
2020-06-24 22:53,1593032003,66,21.1,189
2020-06-24 22:53,1593032007,67,20.8,168
2020-06-24 22:53,1593032011,67,20.7,157
2020-06-24 22:53,1593032015,67,20.6,157
2020-06-24 22:53,1593032019,66,20.5,193
2020-06-24 22:53,1593032023,65,20.3,195
2020-06-24 22:53,1593032027,65,20.2,182
2020-06-24 22:53,1593032031,65,20.1,248
2020-06-24 22:53,1593032035,65,19.8,1273
2020-06-24 22:53,1593032039,65,19.3,765
2020-06-24 22:54,1593032043,65,18.9,1032
2020-06-24 22:54,1593032047,65,18.9,221
2020-06-24 22:54,1593032051,65,18.9,304
2020-06-24 22:54,1593032055,65,18.9,245
2020-06-24 22:54,1593032059,64,18.9,205
2020-06-24 22:54,1593032063,64,19.2,252
2020-06-24 22:54,1593032067,64,19.6,160
2020-06-24 22:54,1593032071,64,20,151
2020-06-24 22:54,1593032075,63,19.9,126
2020-06-24 22:54,1593032079,63,19.7,99
2020-06-24 22:54,1593032083,62,19.3,143
2020-06-24 22:54,1593032087,62,19,159
2020-06-24 22:54,1593032091,62,18.6,205
2020-06-24 22:54,1593032095,63,18.1,190
2020-06-24 22:54,1593032099,63,17.7,217
2020-06-24 22:55,1593032103,63,17.5,336
2020-06-24 22:55,1593032107,63,17.4,132
2020-06-24 22:55,1593032111,64,17.3,185
2020-06-24 22:55,1593032115,64,17.5,175
2020-06-24 22:55,1593032119,63,17.9,179
2020-06-24 22:55,1593032123,64,18.1,208
2020-06-24 22:55,1593032127,64,18.2,191
2020-06-24 22:55,1593032131,64,18.2,296
2020-06-24 22:55,1593032135,65,18.2,223
2020-06-24 22:55,1593032139,65,18.2,279
2020-06-24 22:55,1593032143,65,18.1,523
2020-06-24 22:55,1593032147,65,18,1109
2020-06-24 22:55,1593032151,65,18,247
2020-06-24 22:55,1593032155,65,18,254
2020-06-24 22:55,1593032159,65,18,210
2020-06-24 22:56,1593032163,65,17.9,224
2020-06-24 22:56,1593032167,66,17.9,172
2020-06-24 22:56,1593032171,67,17.8,145
2020-06-24 22:56,1593032175,68,17.9,209
2020-06-24 22:56,1593032179,68,18,190
2020-06-24 22:56,1593032183,68,18,158
2020-06-24 22:56,1593032187,68,18,209
2020-06-24 22:56,1593032191,67,18,260
2020-06-24 22:56,1593032195,68,18.1,215
2020-06-24 22:56,1593032199,68,18.1,195
2020-06-24 22:56,1593032203,68,18.2,192
2020-06-24 22:56,1593032207,68,18.5,232
2020-06-24 22:56,1593032211,68,18.8,164
2020-06-24 22:56,1593032215,68,18.8,228
2020-06-24 22:56,1593032219,68,18.7,186
2020-06-24 22:57,1593032223,69,18.6,206
2020-06-24 22:57,1593032227,69,18.4,185
2020-06-24 22:57,1593032231,70,18.4,187
2020-06-24 22:57,1593032235,71,18.5,69
2020-06-24 22:57,1593032239,71,18.6,129
2020-06-24 22:57,1593032243,70,18.7,164
2020-06-24 22:57,1593032247,70,18.7,892
2020-06-24 22:57,1593032251,70,18.5,190
2020-06-24 22:57,1593032255,70,18.2,191
2020-06-24 22:57,1593032259,70,18,181
2020-06-24 22:57,1593032263,68,18,214
2020-06-24 22:57,1593032267,68,17.9,182
2020-06-24 22:57,1593032271,69,17.9,265
2020-06-24 22:57,1593032275,70,17.8,257
2020-06-24 22:57,1593032279,70,17.9,220
2020-06-24 22:58,1593032283,71,18.2,247
2020-06-24 22:58,1593032287,71,18.4,291
2020-06-24 22:58,1593032291,72,18.7,205
2020-06-24 22:58,1593032295,72,19.2,185
2020-06-24 22:58,1593032299,72,19.8,226
2020-06-24 22:58,1593032303,72,20.3,188
2020-06-24 22:58,1593032307,71,20.3,141
2020-06-24 22:58,1593032311,71,20.1,151
2020-06-24 22:58,1593032315,71,20,156
2020-06-24 22:58,1593032319,70,19.8,263
2020-06-24 22:58,1593032323,70,19.5,204
2020-06-24 22:58,1593032327,71,19.1,199
2020-06-24 22:58,1593032331,71,18.8,227
2020-06-24 22:58,1593032335,71,18.7,240
2020-06-24 22:58,1593032339,71,18.8,221
2020-06-24 22:59,1593032343,71,19,161
2020-06-24 22:59,1593032347,72,19.1,220
2020-06-24 22:59,1593032351,72,19.2,238
2020-06-24 22:59,1593032355,72,19.2,220
