at,timestamp,hr,rr,act
2020-06-22 23:16,1592860594,,,0
2020-06-22 23:16,1592860598,,,0
2020-06-22 23:16,1592860602,,,0
2020-06-22 23:16,1592860606,,,1
2020-06-22 23:16,1592860610,,,0
2020-06-22 23:16,1592860614,,,0
2020-06-22 23:16,1592860618,,,0
2020-06-22 23:17,1592860622,,,1
2020-06-22 23:17,1592860626,,,0
2020-06-22 23:17,1592860630,,,0
2020-06-22 23:17,1592860634,,,0
2020-06-22 23:17,1592860638,,,0
2020-06-22 23:17,1592860642,,,1
2020-06-22 23:17,1592860646,,,1
2020-06-22 23:17,1592860650,,,0
2020-06-22 23:17,1592860654,,,0
2020-06-22 23:17,1592860658,,,11
2020-06-22 23:17,1592860662,,,0
2020-06-22 23:17,1592860666,,,0
2020-06-22 23:17,1592860670,,,0
2020-06-22 23:17,1592860674,,,36
2020-06-22 23:17,1592860678,,,0
2020-06-22 23:18,1592860682,,,6
2020-06-22 23:18,1592860686,,,0
2020-06-22 23:18,1592860690,,,0
2020-06-22 23:18,1592860694,,,0
2020-06-22 23:18,1592860698,,,0
2020-06-22 23:18,1592860702,,,0
2020-06-22 23:18,1592860706,62,,1
2020-06-22 23:18,1592860710,62,,1
2020-06-22 23:18,1592860714,75,,0
2020-06-22 23:18,1592860718,90,,0
2020-06-22 23:18,1592860722,85,,0
2020-06-22 23:18,1592860726,75,,0
2020-06-22 23:18,1592860730,71,,0
2020-06-22 23:18,1592860734,68,,1
2020-06-22 23:18,1592860738,70,,1
2020-06-22 23:19,1592860742,70,,0
2020-06-22 23:19,1592860746,69,,0
2020-06-22 23:19,1592860750,72,,0
2020-06-22 23:19,1592860754,72,,0
2020-06-22 23:19,1592860758,70,,0
2020-06-22 23:19,1592860762,70,,0
2020-06-22 23:19,1592860766,71,,0
2020-06-22 23:19,1592860770,73,,0
2020-06-22 23:19,1592860774,75,,0
2020-06-22 23:19,1592860778,76,,0
2020-06-22 23:19,1592860782,76,,0
2020-06-22 23:19,1592860786,76,,0
2020-06-22 23:19,1592860790,77,,1426
2020-06-22 23:19,1592860794,77,,14
2020-06-22 23:19,1592860798,77,,11
2020-06-22 23:20,1592860802,77,,5
2020-06-22 23:20,1592860806,,,0
2020-06-22 23:20,1592860810,,,0
2020-06-22 23:20,1592860814,,,0
2020-06-22 23:20,1592860818,,,0
2020-06-22 23:22,1592860938,,,0
2020-06-22 23:23,1592861014,,,21162
2020-06-22 23:23,1592861018,,,11067
2020-06-22 23:23,1592861022,,,14245
2020-06-22 23:23,1592861026,,,77
2020-06-22 23:23,1592861030,,,79
2020-06-22 23:23,1592861034,,,94
2020-06-22 23:23,1592861038,,,75
2020-06-22 23:24,1592861042,,,76
2020-06-22 23:24,1592861046,,,76
2020-06-22 23:24,1592861050,82,,1213
2020-06-22 23:24,1592861054,82,,63
2020-06-22 23:24,1592861058,82,,59
2020-06-22 23:24,1592861062,83,,79
2020-06-22 23:24,1592861066,85,,68
2020-06-22 23:24,1592861070,86,,70
2020-06-22 23:24,1592861074,85,,96
2020-06-22 23:24,1592861078,82,,74
2020-06-22 23:24,1592861082,81,,83
2020-06-22 23:24,1592861086,82,,63
2020-06-22 23:24,1592861090,83,,75
2020-06-22 23:24,1592861094,82,,79
2020-06-22 23:24,1592861098,81,18,63
2020-06-22 23:25,1592861102,82,17.7,49
2020-06-22 23:25,1592861106,82,17.4,72
2020-06-22 23:25,1592861110,82,16.9,50
2020-06-22 23:25,1592861114,82,16.6,48
2020-06-22 23:25,1592861118,81,16.5,47
2020-06-22 23:25,1592861122,79,16.2,67
2020-06-22 23:25,1592861126,78,15.8,77
2020-06-22 23:25,1592861130,76,15.6,71
2020-06-22 23:25,1592861134,75,15.6,66
2020-06-22 23:25,1592861138,75,15.8,58
2020-06-22 23:25,1592861142,76,15.9,55
2020-06-22 23:25,1592861146,77,16.2,72
2020-06-22 23:25,1592861150,77,16.9,39
2020-06-22 23:25,1592861154,77,17.6,75
2020-06-22 23:25,1592861158,77,18,75
2020-06-22 23:26,1592861162,77,18.3,43
2020-06-22 23:26,1592861166,78,18.6,1416
2020-06-22 23:26,1592861170,78,18.6,65
2020-06-22 23:26,1592861174,78,18.7,83
2020-06-22 23:26,1592861178,78,18.7,70
2020-06-22 23:26,1592861182,78,18.7,63
2020-06-22 23:26,1592861186,79,18.7,75
2020-06-22 23:26,1592861190,80,18.7,69
2020-06-22 23:26,1592861194,80,18.7,60
2020-06-22 23:26,1592861198,81,18.7,62
2020-06-22 23:26,1592861202,81,18.7,33
2020-06-22 23:26,1592861206,80,18.1,59
2020-06-22 23:26,1592861210,81,17.5,61
2020-06-22 23:26,1592861214,81,17.1,62
2020-06-22 23:26,1592861218,80,17.3,72
2020-06-22 23:27,1592861222,80,17.5,67
2020-06-22 23:27,1592861226,79,16,56
2020-06-22 23:27,1592861230,79,13.1,43
2020-06-22 23:27,1592861234,79,10.2,58
2020-06-22 23:27,1592861238,79,9.9,53
2020-06-22 23:27,1592861242,79,9.5,51
2020-06-22 23:27,1592861246,80,9.4,48
2020-06-22 23:27,1592861250,79,9.4,37
2020-06-22 23:27,1592861254,79,9.1,57
