timestamp,rmssd,tp,lfn,hfn,r_hrv
1592270382,,,,,317.5
1592270562,,,,,272.7
1592270663,,,,,274.7
1592270933,,,,,418.5
1592271113,43.7,0.4,49.8,50.2,65.2
1592271293,23.9,0.5,36.5,63.5,483.3
1592271473,17.1,0.6,58.9,41.1,161.1
1592271653,,,,,46.2
1592271833,,,,,15
1592272014,,,,,14.2
1592272194,,,,,30.8
1592272374,,,,,9.8
1592272554,,,,,18.5
1592272734,14.4,0.4,80.7,19.3,136.4
1592272914,8.3,0.5,44.5,55.5,138.1
1592273094,152.1,0.5,81.9,18.1,524.1
1592273273,,,,,336
1592273453,,,,,237.1
1592273633,,,,,54.5
1592273813,11.6,0.5,21.6,78.4,51.6
1592273993,,,,,79
1592274173,,,,,156.6
1592274354,19.2,0.6,46.1,53.9,114.4
1592274534,19.6,0.5,56.3,43.7,117.4
1592274714,21.2,0.4,31.1,68.9,119.1
1592274894,27.1,0.3,54.5,45.5,114.1
1592275074,27.7,0.3,50.3,49.7,116.7
1592275254,12.6,0.6,32,68,118.7
1592275434,74.7,0.5,63.9,36.1,429.5
1592275613,,,,,99.9
1592275793,,,,,85.2
1592275973,,,,,130.3
1592276153,24.9,0.4,78.9,21.1,64.2
1592276333,17.6,0.5,47.3,52.7,65.2
1592276513,30.8,0.4,24.9,75.1,65.5
1592276694,24,0.5,33.3,66.7,65.5
1592276874,,,,,95.3
1592277054,,,,,101.2
1592277234,37,0.4,18.6,81.4,621.4
1592277414,21,0.6,47.5,52.5,129.9
1592277594,18.8,0.6,34.5,65.5,131.2
1592277774,,,,,50.6
1592277953,,,,,37.7
1592278133,15.6,0.6,32.6,67.4,127.3
1592278313,,,,,142
1592278493,32.1,0.6,65.9,34.1,127.6
1592278673,,,,,34.7
1592278853,50.3,0.4,21.1,78.9,59.8
1592279034,,,,,54.1
1592279214,,,,,154.1
1592279394,29.9,0.5,43.6,56.4,121
1592279574,23.3,0.6,59,41,123.9
1592279754,26.1,0.5,27.7,72.3,397.6
1592279934,21.6,0.5,30.9,69.1,707
1592280114,,,,,55.5
1592280293,,,,,16.8
1592280473,,,,,15.7
1592280653,,,,,31.4
1592280833,,,,,111.2
1592280937,,,,,395.3
1592281210,23.5,0.5,41.6,58.4,163.2
1592281390,,,,,25.9
1592281570,20.5,0.6,30.1,69.9,168.5
1592281749,10.2,0.6,68.8,31.2,228.4
1592281929,13.1,0.6,65.2,34.8,253.9
1592282109,12.9,0.6,57.3,42.7,216.5
1592282290,10.6,0.6,61.2,38.8,210.1
1592282470,155.8,0.4,68.1,31.9,187
1592282650,36.4,0.5,39.2,60.8,544.9
1592282830,31.6,0.5,16.4,83.6,99.3
1592283010,24.8,0.5,38.8,61.2,101.2
1592283190,20.1,0.5,43.5,56.5,99.7
1592283370,,,,,67.4
1592283550,51.5,0.4,41,59,101.6
1592283730,19.9,0.5,43,57,100.6
1592283910,,,,,184.8
1592284089,17,0.5,28.5,71.5,97.8
1592284269,,,,,78.8
1592284449,18.1,0.6,45.2,54.8,127.9
1592284630,77.4,0.4,12.9,87.1,725.2
1592284810,26.9,0.6,31.5,68.5,214.4
1592284990,112.3,0.4,76.5,23.5,570.1
1592285170,23.1,0.6,44.3,55.7,159.6
1592285350,13.3,0.6,57.6,42.4,197.1
1592285530,67.1,0.4,52.6,47.4,202.4
1592285710,15.7,0.6,52.3,47.7,523.6
1592285890,,,,,345.6
1592286070,,,,,198.2
1592286250,35.5,0.5,34.8,65.2,170.2
1592286429,40.5,0.5,43.1,56.9,501
1592286609,23.4,0.6,50.1,49.9,159.8
1592286789,21.2,0.6,68.2,31.8,166.8
1592286970,12.8,0.6,62.6,37.4,160.7
1592287150,11.7,0.7,71.5,28.5,194.5
1592287330,34,0.6,80,20,447.7
1592287510,42.2,0.4,40.8,59.2,467.7
1592287690,36.2,0.5,31.8,68.2,436.7
1592287870,41.9,0.5,51.4,48.6,72.3
1592288050,33,0.4,23.7,76.3,634.2
1592288230,35.5,0.5,28.6,71.4,157.6
1592288432,23.3,0.6,30.7,69.3,155.1
1592288612,52.4,0.3,66.3,33.7,154.4
1592288791,62.5,0.3,58.4,41.6,154.9
1592288971,20.4,0.5,18.5,81.5,149.3
1592289151,15.8,0.5,52.3,47.7,352.5
1592289332,66,0.5,35.2,64.8,712.4
1592289498,,,,,284
1592289825,,,,,233.4
1592290005,,,,,221.1
1592290126,,,,,277.9
