timestamp,rmssd,tp,lfn,hfn,r_hrv
1592860680,,,,,492.8
1592860785,,,,,358.5
1592861100,,,,,159.2
1592861280,,,,,109.6
1592861460,,,,,91.4
1592861640,,,,,47.9
1592861820,23,0.4,49,51,365.6
1592862000,,,,,11.3
1592862181,9.2,0.6,63.8,36.2,252.6
1592862361,15.6,0.6,61.8,38.2,560.3
1592862541,22.8,0.6,64.7,35.3,265.3
1592862654,,,,,486.5
1592863084,,,,,105.4
1592863264,13.7,0.5,31.7,68.3,149.9
1592863444,14,0.5,32.3,67.7,497.5
1592863623,91.5,0.4,72.3,27.7,733.6
1592863803,16.4,0.6,66.9,33.1,333.2
1592863983,122.5,0.4,30.3,69.7,681.4
1592864164,21.3,0.6,43.3,56.7,350.6
1592864344,20.7,0.6,38.8,61.2,227.9
1592864524,,,,,238
1592864704,19.4,0.6,44.9,55.1,216.3
1592864884,20.6,0.6,36.9,63.1,153.2
1592865064,,,,,16.9
1592865244,,,,,34.6
1592865424,,,,,158.5
1592865604,,,,,126
1592865762,19.3,0.6,50.5,49.5,551.1
1592866063,,,,,377.9
1592866243,,,,,313.2
1592866423,,,,,174.6
1592866603,25.5,0.6,71.6,28.4,829.2
1592866783,17.5,0.6,48.9,51.1,424.2
1592866963,,,,,71.7
1592867144,23.5,0.6,53.5,46.5,147
1592867324,23.6,0.6,32.9,67.1,304.7
1592867504,,,,,18.5
1592867684,,,,,16.5
1592867864,16.7,0.6,25.5,74.5,842.6
1592868043,35,0.6,47,53,194.5
1592868223,26,0.5,33.2,66.8,198.9
1592868403,,,,,177.3
1592868583,32.2,0.5,19.2,80.8,613.3
1592868763,30.5,0.5,48,52,516.3
1592868943,36.5,0.5,32.2,67.8,871.3
1592869123,34.8,0.6,58.8,41.2,429
1592869303,30.8,0.5,50.4,49.6,723.6
1592869484,206.5,0.4,36.8,63.2,883.7
1592869664,20.1,0.6,70.9,29.1,734.5
1592869844,16,0.6,48,52,749.2
1592869996,29,0.6,44.5,55.5,810.2
1592870279,,,,,240.8
1592870459,,,,,276.5
1592870639,32.7,0.6,35.7,64.3,457.6
1592870819,40.1,0.5,25.7,74.3,200.1
1592870999,29.4,0.5,39.9,60.1,220.6
1592871179,39.9,0.5,33,67,212.7
1592871360,,,,,18.6
1592871540,30.8,0.6,67.9,32.1,237.3
1592871720,28.4,0.5,52.9,47.1,241
1592871900,42.3,0.5,28.4,71.6,483.6
1592872080,47.8,0.5,40,60,309.9
1592872260,35.4,0.5,36.3,63.7,91.5
1592872440,37,0.5,33.9,66.1,91.7
1592872619,37.3,0.5,44.3,55.7,603.8
1592872799,30.7,0.4,22.9,77.1,72.1
1592872979,31.4,0.4,30.8,69.2,430.3
1592873159,43,0.4,32.8,67.2,362.1
1592873339,,,,,109.6
1592873519,,,,,97.2
1592873700,,,,,190.9
1592873880,50,0.5,29.8,70.2,345.6
1592874060,53.5,0.5,20.7,79.3,96.1
1592874240,43.8,0.5,28.2,71.8,101.1
1592874420,47,0.5,18.9,81.1,310.6
1592874600,47.5,0.5,34.8,65.2,97.5
1592874780,40,0.5,29,71,94.8
1592874959,34.3,0.5,21.3,78.7,103.6
1592875139,,,,,189.2
1592875319,39,0.5,37.8,62.2,102.3
1592875499,36.7,0.5,52.3,47.7,89
1592875679,30.6,0.5,38.8,61.2,293
1592875859,,,,,37.2
1592876040,36.8,0.5,61.5,38.5,626.8
1592876220,37.9,0.5,40.1,59.9,256.8
1592876400,42.4,0.5,19.2,80.8,188.2
1592876580,40.3,0.5,45.6,54.4,753.8
1592876760,37.5,0.5,44.6,55.4,84.5
1592876940,31.4,0.5,39.5,60.5,87.8
1592877120,30.3,0.4,37.8,62.2,89.4
1592877299,29.4,0.5,40.4,59.6,558.8
1592877479,35.6,0.5,51.1,48.9,270.1
1592877659,31.8,0.5,32.3,67.7,50.7
1592877839,27.6,0.6,67.7,32.3,145.6
1592878019,21.1,0.5,39.8,60.2,53.5
1592878199,25.2,0.5,38.5,61.5,105.3
1592878380,38.4,0.4,36,64,158.3
1592878560,29.7,0.5,43.8,56.2,83
1592878740,,,,,192.5
1592878920,36,0.5,64.4,35.6,496.2
1592879100,35.7,0.4,31.8,68.2,82.8
1592879280,31.1,0.5,31.9,68.1,133.1
1592879460,,,,,104.9
1592879639,,,,,60.5
1592879819,58.8,0.5,46.4,53.6,409.9
1592879999,34.7,0.5,19.6,80.4,48
1592880179,,,,,35.3
1592880359,,,,,29.7
1592880539,,,,,29.6
1592880720,,,,,29.4
1592880900,25.1,0.5,28.4,71.6,47.1
1592881080,,,,,35.7
1592881260,,,,,109.9
1592881440,24.8,0.4,41.8,58.2,288.5
1592881620,39,0.5,29.5,70.5,387.7
1592881800,40.1,0.5,37.6,62.4,233.4
1592881979,,,,,36.8
1592882159,28.1,0.5,24,76,245.4
1592882339,33.9,0.5,41.4,58.6,178.1
1592882519,,,,,32.1
1592882699,32,0.5,25.8,74.2,276
1592882879,34.9,0.5,42.7,57.3,722.7
1592883060,31.1,0.5,47.9,52.1,302.6
1592883240,30.4,0.5,38.5,61.5,197.6
1592883420,33.9,0.5,42.8,57.2,209.1
1592883600,32.8,0.5,24.6,75.4,198.2
1592883780,30.3,0.5,27,73,293.5
1592883960,35.3,0.6,47.5,52.5,678.8
1592884140,31.9,0.5,37.6,62.4,76.2
1592884319,22.1,0.5,49,51,84.9
1592884499,21.1,0.5,58.2,41.8,178.5
1592884679,,,,,23.7
1592884859,17.7,0.5,54,46,115.4
1592885039,19.5,0.5,72.9,27.1,211.7
1592885219,44.1,0.5,48.9,51.1,453.8
1592885400,34.4,0.5,29.3,70.7,247.7
1592885580,,,,,37.8
1592885760,36.3,0.5,37.5,62.5,356.4
1592885940,32.1,0.5,38.3,61.7,183.6
1592886120,21.4,0.5,38.7,61.3,215.1
1592886300,33.2,0.5,31.1,68.9,418.3
1592886480,25.5,0.5,37.1,62.9,69.9
1592886659,,,,,27.1
1592886839,34.1,0.5,52.7,47.3,769.6
1592887019,,,,,36.9
1592887199,,,,,32.9
1592887379,,,,,31.6
1592887559,,,,,30.7
1592887740,,,,,27.7
1592887920,,,,,30.2
1592888100,,,,,27.3
1592888280,,,,,28.3
1592888460,25.2,0.5,28.8,71.2,557.1
1592888640,,,,,134
1592888820,38.3,0.5,35.8,64.2,60.6
1592888999,29,0.5,42,58,54.5
1592889179,24.8,0.5,47.3,52.7,372.8
1592889359,33.8,0.4,48,52.1,173.4
1592889539,49.6,0.5,37,63,50.1
1592889719,45,0.4,26.1,73.9,48.2
1592889899,49,0.5,23.3,76.7,396.1
1592890080,33.2,0.5,39.2,60.8,492.2
1592890260,,,,,51.7
1592890440,,,,,29.7
1592890620,,,,,39.5
1592890800,46.5,0.5,56.8,43.2,496
1592890980,40.1,0.4,46.8,53.2,129.6
1592891160,,,,,84.8
1592891339,26.4,0.5,56.9,43.1,105.3
1592891519,21.1,0.5,35.8,64.2,68.1
1592891699,22.8,0.5,36.5,63.5,430.8
1592891879,42.7,0.5,61.6,38.4,666.1
1592892059,32.4,0.6,54.1,45.9,184.7
1592892239,36.7,0.6,67.8,32.2,198.7
1592892420,31.9,0.5,42.1,57.9,430
1592892600,42.4,0.5,20.6,79.4,32.4
1592892780,40.7,0.5,53,47,659.8
1592892960,32.6,0.6,46.8,53.2,512.7
1592893140,,,,,247
1592893320,29,0.6,47,53,350.4
1592893500,29.2,0.6,67.8,32.2,497.3
1592893679,29.3,0.6,36.3,63.7,129.3
1592893855,193.1,0.5,42.4,57.6,430.1
